"","carat","cut","color","clarity","total_depth","table","length","width","depth","price"
"52192",0.7,"Fair","G","VS2",64.9,57,5.55,5.54,3.6,2479
"12099",1.16,"Premium","F","SI2",62.1,59,6.76,6.71,4.18,5164
"15139",1.52,"Premium","H","SI2",62.6,60,7.34,7.3,4.58,6086
"4417",0.7,"Ideal","H","VVS1",60.9,57,5.7,5.78,3.5,3611
"852",0.64,"Premium","E","VVS2",62.1,58,5.56,5.51,3.44,2870
"30690",0.3,"Premium","F","VVS2",61.5,58,4.29,4.31,2.64,737
"21303",1.15,"Ideal","G","VVS2",61.8,56,6.72,6.75,4.16,9457
"36155",0.33,"Premium","E","VS2",61.7,60,4.45,4.4,2.73,928
"11603",1.04,"Good","F","SI1",63.4,59,6.4,6.44,4.07,5045
"622",0.75,"Very Good","F","SI2",59.8,56,5.85,5.92,3.52,2840
"10906",1.01,"Ideal","I","VS2",61.3,53,6.52,6.54,4,4887
"1317",0.72,"Ideal","H","VVS1",62,55,5.74,5.77,3.57,2958
"16188",1.01,"Premium","G","VVS2",61.3,61,6.47,6.32,3.92,6470
"6653",0.9,"Very Good","E","SI1",63.1,60,6.18,6.14,3.89,4092
"12098",1.13,"Ideal","G","SI2",62.9,54,6.72,6.67,4.21,5164
"30053",0.41,"Premium","G","SI1",62.5,58,4.75,4.78,2.98,719
"7487",1.02,"Good","F","SI2",63.8,53,6.46,6.37,4.09,4238
"15983",1.21,"Fair","G","SI1",64.6,60,6.69,6.62,4.3,6397
"22806",1.53,"Premium","H","VS2",59.9,60,7.5,7.46,4.48,10827
"10950",1.03,"Ideal","G","SI1",60.9,57,6.54,6.5,3.97,4900
"16926",1.69,"Ideal","H","I1",62,56,7.66,7.61,4.73,6757
"52360",0.75,"Premium","F","SI2",62.2,58,5.87,5.8,3.57,2501
"42245",0.52,"Ideal","D","SI2",61.7,55,5.17,5.2,3.2,1292
"16621",1.09,"Ideal","H","VS1",61.3,54,6.66,6.68,4.09,6643
"34884",0.31,"Premium","E","VS1",62.6,60,4.33,4.29,2.7,879
"10031",0.3,"Fair","J","VS2",64.8,58,4.24,4.16,2.72,416
"31771",0.32,"Premium","F","VS2",59.5,60,4.48,4.46,2.66,773
"46374",0.58,"Ideal","G","VS2",60,56,5.45,5.48,3.28,1761
"13373",0.24,"Very Good","D","VS1",62.9,56,3.96,3.99,2.5,419
"41825",0.51,"Very Good","H","VS2",59.8,57,5.22,5.25,3.13,1251
"17503",1.02,"Ideal","F","VS2",62.8,57,6.41,6.36,4.01,7037
"48950",0.7,"Ideal","J","SI2",61.6,57,5.73,5.69,3.52,2047
"36633",0.41,"Premium","D","SI1",59.2,62,4.85,4.82,2.86,947
"22368",0.31,"Premium","H","VS2",62.7,59,4.32,4.29,2.7,628
"28494",0.3,"Ideal","E","VS2",61.5,55,4.3,4.34,2.66,673
"2672",0.7,"Ideal","E","VVS2",62.8,56,5.68,5.6,3.54,3238
"36127",0.33,"Ideal","E","VS2",62.8,56,4.45,4.41,2.78,928
"20406",1.51,"Premium","J","VVS2",62.5,59,7.29,7.34,4.57,8770
"21225",1.27,"Premium","G","VS1",61.1,60,6.99,7.03,4.28,9371
"35731",0.3,"Premium","D","VS2",62.3,58,4.32,4.29,2.68,911
"26596",1.54,"Ideal","G","VVS1",60.8,57,7.49,7.45,4.54,16316
"42344",0.57,"Ideal","F","SI1",61.6,56,5.33,5.36,3.29,1299
"4826",0.9,"Premium","F","SI2",61.5,59,6.23,6.2,3.82,3704
"33248",0.36,"Very Good","F","VS1",60.1,59,4.62,4.66,2.78,825
"37996",0.43,"Ideal","H","VVS2",61.3,56,4.9,4.86,2.99,1008
"44851",0.58,"Ideal","I","VS2",61.8,55,5.36,5.38,3.32,1626
"21676",1.21,"Premium","G","VVS2",61.3,56,6.88,6.85,4.21,9779
"42443",0.5,"Premium","E","SI1",62.6,56,5.07,5.06,3.17,1314
"6564",1.01,"Good","F","SI2",56.9,60,6.68,6.64,3.79,4077
"27850",0.31,"Ideal","H","VVS2",61.7,55.8,4.35,4.39,2.69,652
"35965",0.25,"Good","E","VVS2",58,65,4.13,4.18,2.41,476
"39389",0.41,"Ideal","G","VVS1",60.2,57,4.8,4.83,2.9,1076
"966",0.71,"Good","D","VS2",62.3,61,5.7,5.73,3.56,2891
"13034",0.38,"Premium","J","VS1",62.1,60,4.6,4.64,2.87,600
"24101",1.2,"Very Good","E","VVS2",59.5,54,6.98,6.96,4.15,12253
"23",0.23,"Very Good","H","VS1",61,57,3.94,3.96,2.41,353
"12169",1.18,"Premium","E","SI2",62.5,60,6.74,6.7,4.2,5181
"34739",0.37,"Premium","D","VS2",61,59,4.59,4.63,2.81,876
"29635",0.24,"Ideal","G","VS1",61.8,56,3.99,4.04,2.48,442
"28345",0.33,"Premium","G","VS1",59.2,59,4.51,4.54,2.68,666
"19801",1.71,"Premium","I","SI2",59,60,7.86,7.83,4.63,8366
"33850",0.3,"Premium","F","VS1",61.9,59,4.3,4.26,2.65,844
"31767",0.32,"Premium","H","VVS2",62.2,58,4.38,4.33,2.71,773
"25496",1.57,"Ideal","G","VS2",61.7,56,7.42,7.49,4.6,14283
"51005",0.76,"Good","I","SI1",64.3,60,5.69,5.64,3.64,2326
"53297",0.3,"Good","I","VVS1",63.8,56,4.23,4.26,2.71,552
"8533",0.9,"Ideal","H","VS1",62.2,58,6.14,6.17,3.83,4428
"31468",0.34,"Premium","I","VVS2",61.3,57,4.52,4.49,2.76,765
"41911",0.47,"Ideal","E","VS2",61.7,56,5.01,4.98,3.08,1261
"20742",1.55,"Ideal","G","SI2",60.5,60,7.46,7.49,4.52,8981
"15836",1.01,"Premium","E","VS2",63,60,6.35,6.32,3.99,6335
"27220",1.65,"Ideal","G","IF",62.4,55,7.53,7.61,4.72,17569
"36959",0.28,"Good","H","VVS1",56,64,4.38,4.41,2.46,480
"50046",0.59,"Very Good","D","VS2",62.9,56.7,5.37,5.39,3.38,2200
"23919",1.54,"Premium","G","SI1",61,59,7.38,7.43,4.52,12044
"42322",0.41,"Ideal","F","VVS1",62,55,4.74,4.78,2.95,1295
"18660",1.31,"Premium","F","SI1",62.6,58,6.98,7.02,4.38,7625
"37394",0.41,"Good","E","VS2",61.1,61,4.77,4.82,2.93,982
"23916",1.02,"Ideal","E","VVS1",62.2,58,6.42,6.44,4,12035
"15614",1.12,"Very Good","F","SI1",62.9,57,6.6,6.62,4.16,6262
"21036",0.31,"Very Good","F","VS2",62.7,57,4.3,4.34,2.71,625
"23243",1.59,"Ideal","E","SI2",62.3,55,7.52,7.48,4.67,11251
"44931",0.57,"Very Good","G","VS2",59.9,54.6,5.43,5.46,3.26,1633
"32645",0.31,"Ideal","H","VVS2",62.4,56,4.38,4.34,2.72,802
"216",1.01,"Premium","F","I1",61.8,60,6.39,6.36,3.94,2781
"21590",1.51,"Very Good","H","SI1",62.1,59,7.28,7.33,4.54,9694
"32787",0.43,"Very Good","F","VS2",62.5,60,4.81,4.86,3.02,804
"11115",1,"Good","E","SI1",62.4,59,6.35,6.4,3.98,4936
"24229",2.01,"Very Good","H","SI2",62.2,63,8.01,7.93,4.96,12423
"43475",0.5,"Good","E","VS2",63.1,61,5,5.05,3.17,1419
"15433",1.11,"Good","E","SI1",61.4,57.5,6.62,6.66,4.08,6178
"18706",0.27,"Very Good","F","VVS2",60.1,58,4.17,4.22,2.52,620
"15718",0.36,"Premium","G","SI2",61.9,56,4.59,4.55,2.83,608
"11438",1,"Good","D","SI1",61.9,65,6.31,6.36,3.92,5005
"52961",0.24,"Very Good","E","VVS1",63.7,57,3.92,3.93,2.5,552
"10011",1.13,"Ideal","G","SI2",60.8,56,6.64,6.72,4.06,4707
"43716",0.61,"Fair","I","VS2",57.4,60.9,5.6,5.65,3.23,1437
"21990",1.71,"Premium","I","VS1",60.3,62,7.76,7.7,4.66,10055
"24787",1.51,"Premium","G","VS2",60.8,60,7.42,7.38,4.5,13157
"23413",1.12,"Ideal","F","VVS1",61,56,6.71,6.74,4.1,11403
"801",1.22,"Premium","E","I1",60.9,57,6.93,6.88,4.21,2862
"4793",1.1,"Premium","I","SI2",62.4,59,6.55,6.51,4.08,3696
"16356",0.3,"Premium","H","VS2",62.6,58,4.28,4.22,2.66,608
"27777",0.32,"Ideal","H","VS2",61.5,56,4.4,4.38,2.7,648
"17283",1.5,"Fair","E","SI2",64.8,55,7.26,7.15,4.67,6922
"31606",0.3,"Very Good","J","VS2",61.6,61,4.28,4.33,2.65,368
"23355",0.3,"Ideal","I","SI1",61.2,58,4.28,4.31,2.63,422
"10899",1.02,"Premium","H","SI1",60.5,60,6.58,6.51,3.96,4884
"17956",1.02,"Very Good","F","VS1",61.9,59,6.38,6.44,3.97,7257
"5673",0.9,"Good","E","SI1",58.1,64,6.26,6.28,3.64,3884
"25356",0.28,"Very Good","E","VVS2",59.8,57,4.28,4.32,2.57,642
"271",0.79,"Very Good","G","SI1",60.6,57,5.98,6.06,3.65,2793
"14691",1.05,"Premium","G","VS2",62.5,55,6.59,6.54,4.1,5927
"16570",1.01,"Ideal","G","VS1",61.2,57,6.47,6.41,3.94,6618
"11806",1.06,"Very Good","E","SI1",61.4,58,6.53,6.62,4.04,5090
"3372",0.32,"Ideal","G","SI2",61.3,56,4.44,4.47,2.73,407
"13154",1.27,"Ideal","J","VS2",61.5,57,6.93,6.98,4.28,5442
"10310",0.9,"Good","H","VVS1",63.8,59,6.13,6.09,3.9,4763
"17652",1.21,"Ideal","I","VS1",61.7,53,6.89,6.92,4.26,7111
"9493",1.05,"Good","H","SI1",63.1,60,6.42,6.49,4.07,4608
"30212",0.33,"Ideal","E","VS2",60.3,57,4.51,4.54,2.73,723
"8423",1.05,"Ideal","J","SI1",61.5,55,6.53,6.57,4.03,4405
"27998",0.3,"Premium","E","VS2",61.7,58,4.32,4.34,2.67,658
"9823",1.01,"Very Good","G","SI1",63.5,60,6.33,6.3,4.01,4672
"10047",0.31,"Very Good","I","SI1",62.8,60,4.29,4.31,2.7,418
"3241",0.71,"Very Good","F","VVS2",62.1,60,5.69,5.72,3.54,3354
"1003",0.98,"Good","H","SI2",57.9,56,6.51,6.47,3.76,2898
"5612",0.89,"Ideal","E","SI2",61.8,56,6.15,6.19,3.81,3872
"42725",0.6,"Premium","H","SI1",58.9,61,5.54,5.5,3.25,1341
"32957",0.24,"Very Good","F","VS1",61,57,4.01,4.04,2.45,461
"3752",0.78,"Ideal","D","SI2",61.4,57,5.91,5.94,3.64,3454
"46781",0.61,"Very Good","F","VS2",62.6,60,5.34,5.39,3.36,1805
"32199",0.35,"Ideal","E","SI1",62.3,56,4.56,4.53,2.83,788
"18278",1.25,"Ideal","H","SI1",62,58,6.86,6.89,4.26,7423
"3901",0.72,"Ideal","F","VS1",61.8,56,5.72,5.77,3.55,3489
"36157",0.33,"Premium","E","VS2",62,59,4.41,4.39,2.73,928
"28070",0.39,"Very Good","F","SI1",60,55,4.76,4.79,2.86,661
"2594",0.64,"Ideal","F","VVS2",60.9,56,5.57,5.59,3.4,3217
"43014",0.55,"Very Good","F","SI1",59.1,59,5.36,5.4,3.18,1370
"23567",1.75,"Ideal","G","SI2",61.6,54.8,7.73,7.78,4.78,11576
"11137",1.4,"Premium","J","SI1",62.9,59,7.16,7.07,4.48,4939
"31536",0.31,"Ideal","E","VVS2",61.4,56,4.36,4.4,2.69,766
"13305",1.11,"Ideal","H","SI2",61.2,56,6.7,6.69,4.1,5496
"2982",0.96,"Fair","G","SI1",69.7,59,6.09,5.9,4.18,3299
"44652",0.28,"Ideal","G","VVS1",62.7,55,4.16,4.2,2.62,522
"19417",1.12,"Very Good","G","VVS1",58.9,60,6.78,6.91,4.03,8072
"14254",1.03,"Premium","F","VS2",62.6,58,6.45,6.4,4.02,5774
"6559",1.07,"Premium","I","SI1",58.4,60,6.78,6.68,3.93,4075
"46650",0.3,"Good","H","VS1",63.3,57,4.22,4.25,2.68,526
"37349",0.4,"Premium","G","VVS2",62,58,4.68,4.74,2.92,982
"23740",1.58,"Premium","G","VS2",58.2,58,7.68,7.64,4.46,11786
"38791",0.31,"Premium","G","VVS1",60.7,58,4.4,4.37,2.66,1046
"42051",0.42,"Good","E","VVS2",64.1,57,4.7,4.73,3.02,1269
"33265",0.3,"Ideal","E","VVS1",62.4,55,4.32,4.34,2.7,826
"48843",0.55,"Ideal","E","VS2",62.5,56,5.26,5.23,3.28,2030
"38800",0.31,"Ideal","G","VVS1",61.2,56,4.38,4.34,2.67,1046
"39808",0.42,"Premium","H","VVS1",60.9,62,4.86,4.8,2.94,1096
"7902",1,"Good","D","SI1",64.3,62,6.18,6.13,3.96,4312
"6153",0.9,"Ideal","D","SI2",62.7,57,6.1,6.15,3.84,3990
"23807",1.73,"Premium","G","VS1",61.6,60,7.67,7.62,4.71,11867
"32131",0.41,"Good","G","SI2",63.6,54,4.74,4.7,3,784
"327",0.53,"Ideal","F","IF",61.9,54,5.22,5.25,3.24,2802
"29017",0.31,"Ideal","G","VVS2",61.5,56,4.38,4.4,2.7,687
"20280",1.2,"Ideal","G","VS1",62,57,6.81,6.78,4.21,8701
"53027",0.61,"Ideal","G","IF",61.8,52,5.46,5.55,3.4,2601
"18449",1.13,"Ideal","F","VS2",62.1,56,6.71,6.65,4.15,7504
"33885",0.3,"Ideal","E","VS2",62.6,54,4.33,4.29,2.7,844
"25608",2.04,"Very Good","I","SI2",62.5,52,8.02,8.17,5.06,14477
"24202",1.5,"Ideal","F","SI1",61.8,56,7.27,7.34,4.52,12389
"43817",0.51,"Premium","E","SI1",61.8,58,5.15,5.11,3.17,1443
"13229",1.21,"Premium","H","VS2",60.8,62,6.82,6.78,4.13,5461
"50221",0.7,"Very Good","F","SI1",61.7,61,5.67,5.7,3.51,2230
"684",0.8,"Very Good","F","SI1",63.4,57,5.89,5.82,3.71,2851
"34984",0.34,"Premium","F","VS2",62.3,57,4.48,4.44,2.78,880
"47872",0.52,"Ideal","G","VVS2",61.7,56,5.14,5.16,3.18,1911
"28797",0.27,"Very Good","F","VVS2",61.2,57,4.14,4.17,2.54,682
"14923",1.5,"Good","G","SI2",57.5,63,7.53,7.49,4.32,6006
"34184",0.33,"Premium","G","VS1",61.6,58,4.44,4.39,2.72,854
"12426",1.02,"Premium","H","VS2",61.8,58,6.49,6.43,3.99,5241
"16434",1.13,"Ideal","E","SI1",62.2,55,6.66,6.69,4.15,6563
"32714",0.31,"Ideal","F","VS2",61.9,55,4.35,4.31,2.68,802
"16903",1,"Good","G","VVS2",62.4,61,6.32,6.3,3.94,6748
"28197",0.4,"Very Good","E","SI2",62.9,58,4.7,4.74,2.97,666
"33546",0.45,"Good","E","SI1",63.9,57,4.81,4.86,3.09,829
"21278",1.16,"Ideal","F","VS2",61.3,57,6.76,6.79,4.15,9432
"20709",0.31,"Premium","H","VVS2",62.6,60,4.29,4.33,2.7,625
"40328",0.45,"Good","G","VS1",64.1,58.8,4.79,4.86,3.09,1127
"7276",1,"Premium","I","SI1",60.5,59,6.54,6.49,3.94,4200
"42086",0.42,"Ideal","H","IF",61.7,55,4.84,4.82,2.98,1273
"2823",0.81,"Premium","H","VVS2",62.8,58,5.92,5.89,3.71,3266
"4649",0.9,"Good","G","SI1",63.7,58,6.12,6.09,3.89,3669
"14018",1.01,"Good","G","VS2",57.5,62,6.58,6.53,3.77,5701
"32279",0.3,"Very Good","E","VVS2",61.3,59,4.3,4.32,2.64,789
"18594",1.15,"Ideal","G","VS2",61.6,55,6.74,6.76,4.16,7587
"6922",0.91,"Premium","E","SI1",62.4,57,6.23,6.11,3.85,4138
"27096",2.25,"Premium","H","SI1",61.5,61,8.47,8.41,5.19,17233
"42610",0.32,"Premium","I","VS1",62,58,4.37,4.4,2.72,505
"35986",0.42,"Ideal","G","VS1",61.3,57,4.78,4.81,2.94,921
"41522",0.54,"Ideal","F","SI2",60.8,56,5.26,5.34,3.22,1235
"1700",0.72,"Very Good","E","VS2",63.8,57,5.66,5.69,3.62,3035
"8128",1.05,"Premium","F","SI2",60.4,57,6.61,6.54,3.97,4354
"53535",0.72,"Fair","E","VS2",64.4,59,5.67,5.64,3.64,2691
"27738",2.05,"Premium","F","SI2",60.2,59,8.28,8.33,5,18784
"6519",1,"Good","D","SI2",64.3,59,6.21,6.3,4.02,4065
"547",0.72,"Ideal","F","VS1",61.7,57,5.77,5.74,3.55,2829
"44189",0.51,"Very Good","D","SI1",60.9,59,5.13,5.19,3.14,1569
"42016",0.5,"Ideal","I","VS1",61,57,5.11,5.13,3.12,1266
"43730",0.51,"Ideal","H","VS1",62.6,57,5.09,5.13,3.2,1438
"16400",1.26,"Very Good","H","SI1",60.6,60,6.97,7,4.23,6546
"51835",0.76,"Very Good","G","SI2",62,57,5.82,5.86,3.62,2422
"10985",1.01,"Good","E","SI1",63.4,59,6.34,6.38,4.03,4912
"39477",0.41,"Ideal","E","VS1",61.8,55,4.75,4.8,2.95,1079
"52317",0.32,"Good","D","SI1",63.8,55,4.35,4.36,2.78,550
"22378",0.31,"Very Good","H","VS2",63.1,57,4.31,4.28,2.71,628
"17729",0.3,"Very Good","D","SI1",58.8,63,4.35,4.32,2.55,614
"43704",0.51,"Good","E","VS2",63.1,59,5.04,5.07,3.19,1436
"24345",2,"Fair","F","SI2",59.8,68,8.13,7.95,4.81,12610
"38159",0.33,"Very Good","F","IF",60.3,58,4.49,4.46,2.7,1014
"36153",0.33,"Ideal","E","VS2",62.4,55,4.42,4.4,2.75,928
"521",0.82,"Premium","E","SI2",60.8,60,6.05,6.03,3.67,2824
"41836",0.62,"Premium","J","VS2",61.2,59,5.52,5.42,3.35,1253
"28",0.3,"Very Good","J","VS2",62.2,57,4.28,4.3,2.67,357
"44379",0.52,"Ideal","H","VVS2",61.8,57,5.16,5.19,3.2,1581
"22215",1.74,"Premium","H","SI2",62.1,59,7.78,7.65,4.79,10270
"27311",2.16,"Ideal","H","SI1",61.9,57,8.3,8.38,5.16,17820
"34420",0.3,"Ideal","G","IF",61.6,56,4.34,4.36,2.68,863
"40570",0.52,"Ideal","G","SI2",63,55,5.14,5.12,3.23,1151
"47999",0.31,"Ideal","D","SI1",62.5,53,4.34,4.37,2.72,533
"14687",1.27,"Ideal","J","VS2",62.9,54,6.87,6.9,4.33,5925
"46292",0.3,"Good","G","VS2",63.5,54,4.25,4.28,2.71,526
"12696",0.27,"Ideal","H","VS2",61.8,56,4.15,4.17,2.57,599
"363",0.75,"Very Good","H","VVS1",60.6,58,5.85,5.9,3.56,2806
"42271",0.23,"Very Good","E","VVS2",63,58,3.95,3.99,2.5,505
"6989",0.9,"Premium","H","VS2",61.8,58,6.12,6.17,3.8,4155
"15344",1.01,"Very Good","F","VS2",61.7,57,6.39,6.44,3.96,6159
"6493",1.06,"Good","H","SI1",57.2,60,6.84,6.74,3.88,4060
"1553",0.73,"Fair","F","VS1",58.6,66,5.92,5.88,3.46,3002
"39019",0.43,"Premium","F","VS1",62.5,58,4.78,4.85,3.01,1056
"12546",1.23,"Premium","I","SI2",62.5,60,6.82,6.75,4.24,5269
"48005",0.52,"Ideal","D","VS2",62.7,53,5.17,5.14,3.23,1919
"17285",1.03,"Premium","E","VS2",62.9,61,6.42,6.36,4.02,6922
"6007",1.01,"Good","I","SI1",63.6,55,6.39,6.31,4.04,3959
"34797",0.5,"Good","J","SI1",63.3,60,4.97,4.99,3.15,877
"39369",0.36,"Ideal","G","IF",61.6,55,4.57,4.59,2.82,1074
"25819",2.37,"Premium","I","VS2",61.6,56,8.7,8.6,5.33,14837
"12671",1.07,"Very Good","E","SI2",61.7,58,6.54,6.56,4.04,5304
"27008",2.22,"Ideal","G","SI2",62.5,54,8.28,8.35,5.2,17123
"22097",1.51,"Very Good","G","SI1",63.3,60,7.2,7.24,4.57,10116
"20423",1.01,"Ideal","G","IF",62.8,57,6.42,6.39,4.02,8778
"27119",2.35,"Premium","I","SI2",59.9,58,8.68,8.61,5.18,17294
"35141",0.39,"Premium","E","VS2",62.5,60,4.64,4.67,2.91,889
"39505",0.51,"Ideal","J","VS2",62.5,57,5.04,5.08,3.16,1080
"48116",0.52,"Ideal","G","VVS1",61.9,54.4,5.15,5.18,3.2,1936
"5703",0.3,"Premium","D","SI2",62.4,59,4.28,4.25,2.66,574
"30184",0.31,"Ideal","E","VS1",61.6,55,4.39,4.41,2.71,722
"1849",0.76,"Premium","E","VS2",61.7,62,5.85,5.82,3.6,3064
"49049",0.72,"Good","H","SI2",57.9,58,5.98,5.91,3.44,2056
"31116",0.33,"Ideal","G","VVS2",62,53.5,4.44,4.48,2.76,754
"3648",0.93,"Premium","H","SI2",63,59,6.16,6.11,3.86,3437
"1929",0.72,"Very Good","F","VS1",63.2,57,5.69,5.73,3.61,3083
"36049",0.31,"Premium","E","VVS1",61.3,58,4.36,4.39,2.68,924
"35170",0.31,"Ideal","G","IF",61.9,55,4.35,4.38,2.7,891
"38445",0.4,"Very Good","E","VVS2",63.6,55,4.67,4.7,2.98,1028
"35616",0.3,"Premium","I","VS1",61.7,59,4.26,4.3,2.64,473
"10368",1.23,"Premium","I","SI2",62.1,59,6.83,6.79,4.23,4773
"30647",0.3,"Ideal","D","VS2",61.8,55,4.27,4.3,2.65,736
"7435",0.8,"Premium","E","VVS2",62.9,59,5.95,5.88,3.72,4229
"34077",0.36,"Ideal","D","VS2",61,56,4.59,4.63,2.81,852
"28368",0.33,"Ideal","D","VS2",62.3,54,4.43,4.46,2.77,667
"1556",0.65,"Premium","D","VVS2",59.9,58,5.69,5.63,3.39,3003
"44736",0.52,"Ideal","E","VS2",62.1,57,5.22,5.19,3.23,1617
"3948",0.8,"Premium","F","VS2",62.1,60,5.92,5.86,3.66,3502
"1470",0.9,"Fair","E","SI2",65.8,59,6.03,5.98,3.95,2982
"35131",0.45,"Ideal","H","VS1",62,54,4.92,4.95,3.06,888
"31444",0.34,"Ideal","G","VS2",62.1,57,4.5,4.46,2.78,765
"26610",2.1,"Premium","F","SI2",62.1,59,8.16,8.18,5.07,16357
"44327",0.33,"Very Good","H","VS2",62.8,59,4.38,4.44,2.77,521
"12958",1,"Premium","H","VS1",60.7,59,6.44,6.4,3.9,5387
"35062",0.34,"Ideal","D","VVS2",61.2,56,4.5,4.52,2.76,885
"45458",0.7,"Good","I","SI2",63.5,56,5.59,5.63,3.56,1675
"19052",1.06,"Ideal","G","VVS2",62.9,56,6.6,6.56,4.14,7836
"10911",1.04,"Premium","H","SI1",59.5,58,6.58,6.67,3.94,4890
"24393",1.51,"Ideal","G","VS2",61.8,55,7.43,7.39,4.58,12626
"4713",0.31,"Good","D","SI1",63.5,55,4.27,4.3,2.72,571
"44759",0.59,"Very Good","D","SI1",62.9,58,5.31,5.34,3.35,1621
"14415",1.08,"Good","D","SI1",63.8,59,6.39,6.47,4.1,5821
"53808",0.72,"Very Good","G","VS2",63.1,57,5.74,5.71,3.61,2732
"45157",0.5,"Ideal","D","SI1",61.6,55,5.13,5.1,3.15,1654
"51653",0.26,"Ideal","G","VVS2",61.4,56,4.11,4.14,2.53,545
"17522",1.04,"Very Good","G","VS1",61.8,58,6.5,6.55,4.03,7049
"10861",1.24,"Ideal","J","SI1",61.8,57,6.92,6.86,4.26,4875
"7067",0.33,"Ideal","H","VS1",61.8,56,4.41,4.46,2.74,579
"507",0.7,"Ideal","D","SI1",61.8,56,5.73,5.63,3.51,2822
"53074",0.71,"Ideal","F","SI1",61.5,56,5.69,5.76,3.52,2610
"20523",1.2,"Ideal","H","VS1",60.9,57,6.87,6.9,4.19,8852
"28134",0.29,"Very Good","F","VVS1",62.3,58,4.22,4.25,2.64,664
"21686",1.05,"Ideal","F","VVS1",62.7,57,6.5,6.41,4.05,9784
"47925",0.56,"Ideal","G","VS1",60.6,56,5.36,5.33,3.24,1915
"22652",1.72,"Very Good","G","SI2",62.4,59,7.63,7.67,4.77,10697
"17579",1.06,"Very Good","E","VS2",61,60,6.57,6.53,4,7079
"19483",1.01,"Ideal","D","VS2",62.1,58,6.4,6.42,3.98,8119
"15276",1.01,"Ideal","G","VS2",60.4,61,6.45,6.5,3.91,6132
"19369",0.4,"Good","D","SI2",63.4,59,4.67,4.7,2.97,622
"15831",1.3,"Premium","J","VS1",61.6,56,7.06,7,4.33,6334
"34692",0.3,"Ideal","F","IF",61.3,56,4.3,4.34,2.65,873
"47971",0.28,"Very Good","D","VVS2",64,56,4.14,4.17,2.66,532
"40563",0.41,"Very Good","G","VVS1",61,61,4.72,4.75,2.89,1151
"40566",0.41,"Premium","G","VVS1",59.9,59,4.79,4.83,2.88,1151
"47303",0.25,"Ideal","G","SI1",62.6,53,4.04,4.07,2.54,395
"49871",0.53,"Ideal","F","VVS2",62.2,54,5.19,5.22,3.24,2175
"26010",1.52,"Ideal","E","VS2",62.2,57,7.34,7.38,4.58,15239
"20501",1.71,"Good","J","VS2",62.8,58,7.48,7.55,4.72,8831
"4467",0.7,"Very Good","D","VVS2",61.1,57,5.7,5.75,3.5,3622
"29415",0.42,"Very Good","E","SI2",62.9,56,4.77,4.8,3.01,700
"9629",0.91,"Premium","D","VS2",62.7,59,6.16,6.13,3.85,4637
